Date,AirTemp,Tdew,Tground,RH,AP,u,Rad,Rad_MJm2d,Sunshine,PET,Precipitation,Discharge
14/09/202011:00,2.887666667,2.5295,2.855,97.4915,1005.729167,1.583,149.311,12.9004704,NaN,0.014520883,0,5.19
14/09/202012:00,2.898666667,2.888666667,3.046666667,99.90966667,1006.277667,1.394666667,107.1293333,9.2559744,NaN,0.014520883,0,6.6475
14/09/202013:00,2.904,2.878833333,3.202833333,99.82883333,1006.781667,0.9005,64.82883333,5.6012112,NaN,0.014520883,0.05,8.0985
14/09/202014:00,3.009333333,2.802833333,3.309166667,98.55533333,1007.2925,1.445166667,110.056,9.5088384,NaN,0.014520883,0.05,4.820833333
14/09/202015:00,2.771833333,2.6015,3.404166667,98.82983333,1007.855833,2.029833333,79.64216667,6.8810832,NaN,0.014520883,0.05,6.450166667
14/09/202016:00,2.631833333,2.472,3.465833333,98.86733333,1008.267833,1.9145,40.2685,3.4791984,NaN,0.014520883,0.05,6.3835
14/09/202017:00,2.534333333,2.272,3.468166667,98.184,1008.798667,1.821,13.86083333,1.197576,NaN,0.014520883,0.05,4.295333333
14/09/202018:00,2.572833333,1.476,3.418166667,92.534,1009.254667,4.073666667,0.999666667,0.0863712,NaN,0.014520883,0.05,4.878833333
14/09/202019:00,2.126,2.0615,3.328333333,99.52266667,1009.854667,3.980666667,-0.595833333,-0.05148,NaN,0.014520883,0.3,10.48966667
14/09/202020:00,2.037,2.020833333,3.228333333,99.89816667,1010.408833,3.038333333,-0.655,-0.056592,NaN,0.014520883,0.3,9.885666667
14/09/202021:00,1.836833333,1.822833333,3.133,99.90483333,1011.0435,2.423666667,-0.5875,-0.05076,NaN,0.014520883,0.3,16.17966667
14/09/202022:00,1.691,1.676,3.043166667,99.9045,1011.5365,2.641333333,-0.666333333,-0.0575712,NaN,0.014520883,0.3,19.74216667
14/09/202023:00,1.723333333,1.710833333,2.956333333,99.90383333,1012.091833,4.135,-0.515333333,-0.0445248,NaN,0.014520883,0.3,8.5745
15/09/202000:00,1.743,1.446166667,2.8715,97.95583333,1012.364167,5.962666667,-0.335166667,-0.0289584,NaN,0.052095019,0.3,6.336
15/09/202001:00,1.812166667,0.325666667,2.786333333,89.982,1012.760667,5.6295,-0.31,-0.026784,NaN,0.052095019,0.016666667,6.6725
15/09/202002:00,1.626333333,-0.383833333,2.698333333,86.53716667,1013.1025,7.349666667,-0.344833333,-0.0297936,NaN,0.052095019,0.016666667,6.399833333
15/09/202003:00,1.649333333,-1.015166667,2.605833333,82.50183333,1013.517,7.087,-0.031,-0.0026784,NaN,0.052095019,0.016666667,4.564
15/09/202004:00,1.632666667,-0.885,2.5145,83.41116667,1013.927333,6.887666667,2.037333333,0.1760256,NaN,0.052095019,0.016666667,4.135
15/09/202005:00,1.613333333,-1.0015,2.432333333,82.80366667,1014.332333,6.2735,7.678333333,0.663408,NaN,0.052095019,0.016666667,4.7285
15/09/202006:00,1.637833333,-1.746666667,2.363333333,78.26683333,1014.719167,6.6495,16.318,1.4098752,NaN,0.052095019,0.016666667,3.775666667
15/09/202007:00,1.629666667,-1.764166667,2.305,78.18716667,1015.203833,6.3215,23.93783333,2.0682288,NaN,0.052095019,0,3.4505
15/09/202008:00,1.442166667,-1.583833333,2.260166667,80.28633333,1015.586,6.998,33.30666667,2.877696,NaN,0.052095019,0,5.260166667
15/09/202009:00,1.582333333,-1.386,2.231166667,80.62016667,1016.0525,4.847833333,44.35016667,3.8318544,NaN,0.052095019,0,4.350833333
15/09/202010:00,1.614833333,-1.416,2.223333333,80.30216667,1016.435833,4.610166667,52.0085,4.4935344,NaN,0.052095019,0,4.555833333
15/09/202011:00,1.614166667,-1.296166667,2.232666667,81.014,1016.702667,4.461833333,50.75816667,4.3855056,NaN,0.052095019,0,7.488333333
15/09/202012:00,1.608666667,-1.217666667,2.2475,81.53116667,1016.9005,3.638666667,57.11733333,4.9349376,NaN,0.052095019,0,4.175
15/09/202013:00,1.481,-1.269,2.266833333,81.956,1017.096,5.318333333,50.777,4.3871328,NaN,0.052095019,0,8.004666667
15/09/202014:00,1.293,-1.110333333,2.274666667,84.06483333,1017.334833,4.452,39.3945,3.4036848,NaN,0.052095019,0,12.5415
15/09/202015:00,0.943,-0.592333333,2.266,89.55916667,1017.418,3.3095,28.65783333,2.4760368,NaN,0.052095019,0,12.36333333
15/09/202016:00,0.877,-1.106333333,2.238,86.66816667,1017.425833,3.907166667,18.707,1.6162848,NaN,0.052095019,0,16.19133333
15/09/202017:00,0.675833333,-1.2015,2.189,87.33966667,1017.332833,3.5185,7.126333333,0.6157152,NaN,0.052095019,0,15.42016667
15/09/202018:00,0.529666667,-1.284,2.121333333,87.6645,1017.3425,3.145666667,0.562,0.0485568,NaN,0.052095019,0,14.121
15/09/202019:00,0.492333333,-1.577,2.040666667,86.04,1017.406,3.304833333,-0.661833333,-0.0571824,NaN,0.052095019,0,7.563333333
15/09/202020:00,0.694666667,-2.088833333,1.953,81.64016667,1017.489333,4.449,-0.735333333,-0.0635328,NaN,0.052095019,0,4.3515
15/09/202021:00,0.631833333,-1.965,1.866333333,82.801,1017.561833,3.484666667,-0.571166667,-0.0493488,NaN,0.052095019,0,3.0085
15/09/202022:00,0.582833333,-2.133666667,1.790333333,82.07183333,1017.426667,3.5675,-0.691166667,-0.0597168,NaN,0.052095019,0,3.762833333
15/09/202023:00,0.4655,-2.148666667,1.72,82.642,1017.325167,3.411166667,-0.823833333,-0.0711792,NaN,0.052095019,0,3.504166667
16/09/202000:00,0.431833333,-2.220666667,1.646666667,82.40833333,1017.347667,2.999333333,-0.671,-0.0579744,NaN,0.041967938,0,7.953
16/09/202001:00,0.262333333,-1.5305,1.58,87.77866667,1017.3675,3.088666667,-0.676166667,-0.0584208,NaN,0.041967938,0,13.07483333
16/09/202002:00,0.253166667,-1.5105,1.5255,88.02083333,1017.239833,3.318333333,-0.467,-0.0403488,NaN,0.041967938,0,9.694666667
16/09/202003:00,0.1885,-1.366666667,1.479,89.318,1017.1675,3.095,0.045333333,0.0039168,NaN,0.041967938,0,3.459666667
16/09/202004:00,0.322833333,-1.670166667,1.438166667,86.4715,1017.034167,3.368333333,3.8975,0.336744,NaN,0.041967938,0,3.166666667
16/09/202005:00,0.236,-1.225,1.405666667,89.94366667,1016.726667,3.601666667,18.91933333,1.6346304,NaN,0.041967938,0,3.450666667
16/09/202006:00,0.461166667,-1.635166667,1.3815,85.85,1016.520833,3.315166667,27.7805,2.4002352,NaN,0.041967938,0,3.200166667
16/09/202007:00,0.710833333,-1.4425,1.376333333,85.506,1016.362167,3.446166667,45.02266667,3.8899584,NaN,0.041967938,0,3.2585
16/09/202008:00,0.862833333,-1.001833333,1.403,87.36733333,1016.3195,3.989166667,77.91233333,6.7316256,NaN,0.041967938,0,3.355833333
16/09/202009:00,1.089166667,-0.866833333,1.467833333,86.7705,1016.036167,4.456833333,101.9973333,8.8125696,NaN,0.041967938,0,2.9945
16/09/202010:00,1.316666667,-0.9085,1.567833333,85.1445,1015.821667,4.075666667,128.1185,11.0694384,NaN,0.041967938,0,2.875
16/09/202011:00,1.427833333,-0.974166667,1.698,84.066,1015.290333,4.928666667,133.5823333,11.5415136,NaN,0.041967938,0,3.141666667
16/09/202012:00,1.5,-1.280833333,1.828166667,81.79183333,1014.8,5.521666667,74.73733333,6.4573056,NaN,0.041967938,0,9.022
16/09/202013:00,1.357333333,-1.089333333,1.913,83.75266667,1014.267167,5.661666667,30.39566667,2.6261856,NaN,0.041967938,0,7.7005
16/09/202014:00,1.538666667,-0.790666667,1.935,84.495,1013.766,4.349166667,23.42216667,2.0236752,NaN,0.041967938,0,5.185333333
16/09/202015:00,1.639166667,-0.0575,1.933166667,88.47633333,1013.2395,2.995166667,27.458,2.3723712,NaN,0.041967938,0,5.870666667
16/09/202016:00,2.004,0.550166667,1.932833333,90.07883333,1012.524833,2.939,10.101,0.8727264,NaN,0.041967938,0,2.6075
16/09/202017:00,2.669333333,1.864166667,1.932666667,94.41883333,1011.860167,3.628166667,1.3255,0.1145232,NaN,0.041967938,0,3.336833333
16/09/202018:00,3.354666667,1.1545,1.936666667,85.54333333,1010.893833,5.229666667,-0.417833333,-0.0361008,NaN,0.041967938,0,6.005
16/09/202019:00,2.801166667,1.692,1.9505,92.565,1010.403667,7.244666667,-0.824833333,-0.0712656,NaN,0.041967938,0.416666667,17.8865
16/09/202020:00,1.851833333,1.498333333,1.940666667,97.62933333,1010.126667,5.45,-0.4875,-0.04212,NaN,0.041967938,0.416666667,18.77816667
16/09/202021:00,1.935833333,-1.546166667,1.898333333,77.982,1010.250167,6.255,-0.448833333,-0.0387792,NaN,0.041967938,0.416666667,12.86683333
16/09/202022:00,1.63,-2.429,1.822833333,74.50183333,1010.400833,4.9065,-0.471666667,-0.040752,NaN,0.041967938,0.416666667,8.677833333
16/09/202023:00,1.463833333,-3.544666667,1.732,69.39383333,1010.4065,4.3145,-0.676333333,-0.0584352,NaN,0.041967938,0.416666667,6.616
17/09/202000:00,1.538666667,-3.619666667,1.638,68.545,1010.253833,4.6465,-0.664833333,-0.0574416,NaN,0.03131033,0.416666667,6.847
17/09/202001:00,1.564666667,-3.9485,1.557166667,66.88566667,1009.918333,4.795333333,-0.7065,-0.0610416,NaN,0.03131033,0,5.436
17/09/202002:00,1.6045,-4.106333333,1.487,65.816,1009.556833,3.392,-0.761666667,-0.065808,NaN,0.03131033,0,6.619166667
17/09/202003:00,1.464666667,-3.523333333,1.427166667,69.4475,1008.960833,2.2745,-0.501833333,-0.0433584,NaN,0.03131033,0,4.413333333
17/09/202004:00,1.2015,-3.262,1.3725,72.14733333,1008.298167,0.682333333,1.128333333,0.097488,NaN,0.03131033,0,6.577
17/09/202005:00,1.353,-2.921,1.328333333,73.21966667,1007.85,1.587166667,10.45566667,0.9033696,NaN,0.03131033,0,6.003
17/09/202006:00,1.575833333,-2.654833333,1.303666667,73.49133333,1007.231167,2.153,25.81016667,2.2299984,NaN,0.03131033,0,5.11
17/09/202007:00,2.077333333,-2.2665,1.303166667,72.95316667,1006.595,2.187833333,41.796,3.6111744,NaN,0.03131033,0.233333333,9.2075
17/09/202008:00,2.066666667,-0.461333333,1.332833333,83.39483333,1006.128,2.023,35.46183333,3.0639024,NaN,0.03131033,0.233333333,10.98483333
17/09/202009:00,2.794833333,0.520666667,1.374666667,84.97683333,1005.394167,2.9485,41.06266667,3.5478144,NaN,0.03131033,0.233333333,5.195333333
17/09/202010:00,2.557333333,0.8505,1.4495,88.5065,1004.533,3.699333333,28.64716667,2.4751152,NaN,0.03131033,0.233333333,10.47166667
17/09/202011:00,2.2865,2.146,1.525666667,98.97066667,1003.408333,4.404833333,35.048,3.0281472,NaN,0.03131033,0.233333333,15.3155
17/09/202012:00,2.689666667,2.6715,1.599,99.87016667,1002.536333,3.627666667,24.34866667,2.1037248,NaN,0.03131033,0.233333333,13.51616667
17/09/202013:00,2.9965,2.9555,1.6755,99.71133333,1001.600833,3.168333333,25.72633333,2.2227552,NaN,0.03131033,1.433333333,13.36183333
17/09/202014:00,3.041333333,3.033333333,1.7545,99.90883333,1000.637,3.473666667,19.40716667,1.6767792,NaN,0.03131033,1.433333333,16.76033333
17/09/202015:00,3.606666667,3.590166667,1.832166667,99.87416667,999.4033333,4.03,11.16116667,0.9643248,NaN,0.03131033,1.433333333,21.79233333
17/09/202016:00,3.666833333,3.651166667,1.907166667,99.885,998.3268333,4.799833333,2.782333333,0.2403936,NaN,0.03131033,1.433333333,25.21633333
17/09/202017:00,3.759666667,3.7505,1.970166667,99.91083333,997.6215,2.530166667,0.898833333,0.0776592,NaN,0.03131033,1.433333333,31.62433333
17/09/202018:00,4.101666667,4.079166667,2.021666667,99.84666667,996.6445,3.289833333,-0.393666667,-0.0340128,NaN,0.03131033,1.433333333,27.6015
17/09/202019:00,4.049833333,3.797166667,2.066666667,98.29883333,995.7481667,3.398166667,-0.624666667,-0.0539712,NaN,0.03131033,0.916666667,38.06666667
17/09/202020:00,3.622666667,3.449166667,2.1065,98.79683333,995.0443333,2.978333333,-0.465666667,-0.0402336,NaN,0.03131033,0.916666667,27.77983333
17/09/202021:00,3.913833333,3.902166667,2.1385,99.91183333,994.5231667,2.5775,-0.237333333,-0.0205056,NaN,0.03131033,0.916666667,25.23116667
17/09/202022:00,3.889166667,3.875,2.1705,99.91283333,993.9693333,1.771833333,-0.229166667,-0.0198,NaN,0.03131033,0.916666667,25.17216667
17/09/202023:00,3.835666667,3.825166667,2.1975,99.913,993.3938333,2.030166667,-0.464666667,-0.0401472,NaN,0.03131033,0.916666667,20.63716667
18/09/202000:00,3.0495,3.032166667,2.216333333,99.91,992.774,2.133,-0.351833333,-0.0303984,NaN,0.016066267,0.916666667,13.35933333
18/09/202001:00,2.854666667,2.8395,2.222833333,99.90916667,992.1486667,2.7055,-0.199666667,-0.0172512,NaN,0.016066267,0.033333333,15.13016667
18/09/202002:00,2.924666667,2.9155,2.221333333,99.90983333,991.712,3.306666667,-0.218666667,-0.0188928,NaN,0.016066267,0.033333333,11.04033333
18/09/202003:00,2.659166667,2.640166667,2.212833333,99.9085,991.3786667,3.99,-0.198,-0.0171072,NaN,0.016066267,0.033333333,10.25833333
18/09/202004:00,2.201166667,2.184333333,2.188166667,99.90766667,991.0705,3.244166667,6.579333333,0.5684544,NaN,0.016066267,0.033333333,9.0145
18/09/202005:00,2.4545,2.444333333,2.163166667,99.90816667,990.8038333,3.929666667,28.287,2.4439968,NaN,0.016066267,0.033333333,9.004333333
18/09/202006:00,2.449,2.438,2.138666667,99.90883333,990.689,4.679833333,56.85516667,4.9122864,NaN,0.016066267,0.033333333,9.980166667
18/09/202007:00,3.6145,2.188,2.129333333,90.64266667,990.7406667,4.040166667,78.73216667,6.8024592,NaN,0.016066267,0,8.866
18/09/202008:00,3.324333333,2.1425,2.1615,92.03983333,990.8445,5.108166667,84.411,7.2931104,NaN,0.016066267,0,8.482
18/09/202009:00,3.602166667,1.836166667,2.206833333,88.26233333,991.1276667,5.021666667,117.7198333,10.1709936,NaN,0.016066267,0,8.259166667
18/09/202010:00,3.526166667,1.490833333,2.265333333,86.60116667,991.3183333,4.606333333,133.7403333,11.5551648,NaN,0.016066267,0,6.867666667
18/09/202011:00,3.183,1.486,2.357333333,88.63966667,991.581,4.9195,121.8936667,10.5316128,NaN,0.016066267,0,7.011
18/09/202012:00,3.223666667,1.7225,2.459333333,89.899,991.887,4.492333333,113.7646667,9.8292672,NaN,0.016066267,0,6.097333333
18/09/202013:00,3.537,1.633,2.563166667,87.39866667,992.2558333,2.704333333,164.6313333,14.2241472,NaN,0.016066267,0,6.823
18/09/202014:00,3.7885,1.531666667,2.737,85.22166667,992.6596667,3.779,180.944,15.6335616,0.9,0.016066267,0,7.208833333
18/09/202015:00,3.445833333,1.377166667,2.972333333,86.356,993.1658333,3.773166667,101.0041667,8.72676,1,0.016066267,0,7.619833333
18/09/202016:00,2.816333333,1.245,3.105166667,89.405,993.515,2.130166667,30.8775,2.667816,0.3,0.016066267,0,8.136166667
18/09/202017:00,2.472,1.305666667,3.051333333,92.03883333,993.9341667,1.141,6.104,0.5273856,NaN,0.016066267,0,6.792
18/09/202018:00,2.004666667,1.686166667,2.898166667,97.73016667,994.3561667,0.585166667,-0.440333333,-0.0380448,NaN,0.016066267,0,6.8205
18/09/202019:00,2.02,1.950833333,2.733166667,99.502,994.675,0.746333333,-0.5735,-0.0495504,NaN,0.016066267,0,6.328333333
18/09/202020:00,2.646833333,2.634166667,2.597333333,99.9075,995.1873333,1.596833333,-0.592,-0.0511488,NaN,0.016066267,0,5.971333333
18/09/202021:00,2.134666667,2.118833333,2.495,99.90716667,995.6493333,0.8135,-0.805666667,-0.0696096,NaN,0.016066267,0,5.802
18/09/202022:00,1.945333333,1.927833333,2.396833333,99.90716667,996.1278333,1.119333333,-0.892833333,-0.0771408,NaN,0.016066267,0,5.219166667
18/09/202023:00,1.608166667,1.593333333,2.299666667,99.90416667,996.5568333,0.742833333,-0.889,-0.0768096,NaN,0.016066267,0,5.3625
19/09/202000:00,1.6225,1.610166667,2.207666667,99.90433333,996.8408333,0.485,-0.825833333,-0.071352,NaN,0.007439264,0,5.915833333
19/09/202001:00,2.514833333,1.974833333,2.120333333,96.37283333,997.1945,3.0355,-0.982833333,-0.0849168,NaN,0.007439264,0.016666667,6.712666667
19/09/202002:00,3.2645,2.222,2.057833333,92.94216667,997.7005,3.175666667,-0.877166667,-0.0757872,NaN,0.007439264,0.016666667,6.6795
19/09/202003:00,2.836166667,2.823166667,2.025166667,99.909,998.1886667,3.933166667,-0.7695,-0.0664848,NaN,0.007439264,0.016666667,6.881
19/09/202004:00,2.567,2.550833333,2.002,99.90733333,998.6581667,3.0805,3.043166667,0.2629296,NaN,0.007439264,0.016666667,5.953166667
19/09/202005:00,2.390166667,2.378833333,1.961,99.908,999.0945,2.610166667,17.61983333,1.5223536,NaN,0.007439264,0.016666667,6.576833333
19/09/202006:00,2.65,2.5785,1.9305,99.4955,999.4445,3.380833333,38.05833333,3.28824,NaN,0.007439264,0.016666667,5.870833333
19/09/202007:00,2.681333333,2.668666667,1.927833333,99.909,999.8663333,4.270833333,47.08033333,4.0677408,NaN,0.007439264,0.05,6.904166667
19/09/202008:00,2.939166667,2.928333333,1.955166667,99.91066667,1000.259833,6.0655,85.4575,7.383528,NaN,0.007439264,0.05,7.626
19/09/202009:00,3.499666667,2.6145,2.041333333,94.06016667,1000.538,6.346333333,115.7038333,9.9968112,NaN,0.007439264,0.05,11.55433333
19/09/202010:00,4.0325,2.198333333,2.1745,87.88216667,1000.6285,3.479833333,231.3116667,19.985328,NaN,0.007439264,0.05,6.795833333
19/09/202011:00,3.914666667,3.450166667,2.412166667,96.81066667,1000.706,3.933833333,246.5785,21.3043824,0.9,0.007439264,0.05,6.549666667
19/09/202012:00,3.735833333,3.026,2.696166667,95.125,1000.807667,3.844166667,215.405,18.610992,0.7,0.007439264,0.05,7.628833333
19/09/202013:00,3.6015,3.333666667,2.962,98.18416667,1000.952333,2.084833333,184.6728333,15.9557328,0.7,0.007439264,0,6.459
19/09/202014:00,3.319833333,3.240166667,3.204666667,99.4075,1001.158667,1.6635,129.2191667,11.164536,0.6,0.007439264,0,7.271
19/09/202015:00,2.7245,2.670833333,3.399833333,99.686,1000.987667,1.229333333,39.734,3.4330176,0.4,0.007439264,0,7.601333333
19/09/202016:00,2.414,2.400333333,3.463166667,99.90766667,1000.7815,0.916833333,14.97183333,1.2935664,NaN,0.007439264,0,5.12
19/09/202017:00,2.354333333,2.342,3.414666667,99.90816667,1000.409167,1.1425,3.4965,0.3020976,NaN,0.007439264,0,6.301166667
19/09/202018:00,2.437166667,2.424166667,3.310833333,99.90783333,1000.280667,2.3665,-0.243,-0.0209952,NaN,0.007439264,0,6.637833333
19/09/202019:00,2.232,2.214333333,3.194166667,99.90766667,999.8048333,2.372166667,-0.574833333,-0.0496656,NaN,0.007439264,0,4.897666667
19/09/202020:00,1.770666667,1.757666667,3.077,99.90483333,999.4498333,2.202333333,-0.852166667,-0.0736272,NaN,0.007439264,0,5.181333333
19/09/202021:00,1.681833333,1.666333333,2.949833333,99.90416667,999.006,1.517833333,-0.576,-0.0497664,NaN,0.007439264,0,4.947666667
19/09/202022:00,1.4765,1.461833333,2.833333333,99.90466667,998.445,0.734833333,-0.638666667,-0.0551808,NaN,0.007439264,0,7.153833333
19/09/202023:00,1.433666667,1.4205,2.731166667,99.90433333,997.9086667,0.945666667,-0.3995,-0.0345168,NaN,0.007439264,0,6.1565
20/09/202000:00,1.308666667,1.293166667,2.642166667,99.90416667,997.0181667,3.1835,-0.702666667,-0.0607104,NaN,0.099765988,0,5.725166667
20/09/202001:00,1.3365,1.3245,2.546833333,99.90383333,996.2863333,3.262666667,-0.864666667,-0.0747072,NaN,0.099765988,0,5.3925
20/09/202002:00,1.448666667,1.403666667,2.441,99.68316667,995.5203333,3.9205,-0.966833333,-0.0835344,NaN,0.099765988,0,6.430666667
20/09/202003:00,1.648166667,1.152666667,2.333333333,96.767,994.9318333,4.030666667,-0.770833333,-0.0666,NaN,0.099765988,0,6.476
20/09/202004:00,2.574166667,-0.579833333,2.2295,79.80133333,994.0206667,4.773666667,1.586,0.1370304,NaN,0.099765988,0,5.055
20/09/202005:00,2.656666667,-0.422833333,2.135,80.20966667,993.4338333,6.996666667,13.97716667,1.2076272,NaN,0.099765988,0,4.2275
20/09/202006:00,2.615666667,-0.234333333,2.066,81.51766667,992.5705,8.333166667,35.4325,3.061368,NaN,0.099765988,0,4.979166667
20/09/202007:00,2.626333333,-0.182666667,2.020666667,81.75083333,992.0013333,7.988,58.51883333,5.0560272,NaN,0.099765988,0,5.191333333
20/09/202008:00,2.814,-0.193666667,2.000833333,80.66516667,991.4828333,7.770166667,130.9443333,11.3135904,NaN,0.099765988,0,4.413666667
20/09/202009:00,2.9325,-0.414,2.044833333,78.65016667,991.0635,7.6045,88.355,7.633872,0.1,0.099765988,0,4.825666667
20/09/202010:00,3.025333333,-0.151333333,2.098333333,79.6635,990.589,8.355,109.9611667,9.5006448,NaN,0.099765988,0,7.487833333
20/09/202011:00,2.9365,-0.089666667,2.1705,80.53466667,990.307,8.3225,99.88416667,8.629992,NaN,0.099765988,0,6.372333333
20/09/202012:00,2.954166667,-0.694,2.248833333,77.08366667,989.8801667,9.355166667,119.2171667,10.3003632,NaN,0.099765988,0,8.931166667
20/09/202013:00,3.101,-1.028666667,2.325,74.30533333,989.5425,9.356166667,165.7391667,14.319864,NaN,0.099765988,0,3.978
20/09/202014:00,3.128833333,-0.684,2.425833333,76.0935,989.3483333,9.404333333,124.4745,10.7545968,NaN,0.099765988,0,2.518166667
20/09/202015:00,3.073166667,-1.091166667,2.505333333,74.14083333,989.0196667,10.33633333,44.03466667,3.8045952,NaN,0.099765988,0,3.6785
20/09/202016:00,3.028,-1.068,2.496333333,74.4865,988.8128333,10.47483333,18.7825,1.622808,NaN,0.099765988,0,7.207833333
20/09/202017:00,2.951,-0.809666667,2.432,76.3765,988.6171667,10.73916667,5.1895,0.4483728,NaN,0.099765988,0,6.891333333
20/09/202018:00,3.014166667,-0.834666667,2.3495,75.874,988.3735,11.03183333,0.131,0.0113184,NaN,0.099765988,0,6.489333333
20/09/202019:00,2.982833333,-0.851333333,2.2585,75.9235,988.0826667,11.197,-0.579166667,-0.05004,NaN,0.099765988,0,5.09
20/09/202020:00,3.001,-0.8755,2.159,75.70533333,987.884,11.43566667,-0.4955,-0.0428112,NaN,0.099765988,0,9.155
20/09/202021:00,2.905833333,-0.9265,2.066833333,75.92816667,987.8001667,11.24233333,-0.1195,-0.0103248,NaN,0.099765988,0,5.686166667
20/09/202022:00,3.000166667,-0.836333333,1.996833333,75.91033333,987.578,11.11833333,0.1765,0.0152496,NaN,0.099765988,0,9.435666667
20/09/202023:00,3.085833333,-0.785166667,1.9515,75.74916667,987.2543333,10.733,-0.037833333,-0.0032688,NaN,0.099765988,0,9.0895
21/09/202000:00,3.154166667,-0.782333333,1.919666667,75.391,986.8536667,10.96083333,-0.149833333,-0.0129456,NaN,0.141186607,0,7.325
21/09/202001:00,3.1885,-0.881,1.895166667,74.67616667,986.5575,10.53983333,0.165,0.014256,NaN,0.141186607,0,6.834
21/09/202002:00,3.229333333,-0.938333333,1.88,74.147,986.2076667,11.23466667,0.0795,0.0068688,NaN,0.141186607,0,9.57
21/09/202003:00,3.2385,-0.864333333,1.8715,74.49166667,985.939,10.94866667,-0.012,-0.0010368,NaN,0.141186607,0,10.258
21/09/202004:00,3.1995,-0.827833333,1.864166667,74.90033333,985.438,10.90516667,1.547833333,0.1337328,NaN,0.141186607,0,9.478
21/09/202005:00,3.18,-0.622166667,1.855166667,76.1285,984.9246667,10.49833333,12.04933333,1.0410624,NaN,0.141186607,0,11.72566667
21/09/202006:00,3.2735,-0.421666667,1.853166667,76.74266667,984.584,9.554,34.48233333,2.9792736,NaN,0.141186607,0,10.092
21/09/202007:00,3.614333333,-0.3465,1.870833333,75.34883333,984.0495,9.655166667,43.684,3.7742976,NaN,0.141186607,0,6.061333333
21/09/202008:00,3.797166667,-0.124166667,1.915333333,75.581,983.486,9.175166667,65.64366667,5.6716128,NaN,0.141186607,0,7.923333333
21/09/202009:00,3.957333333,-0.030666667,1.9795,75.24266667,982.9378333,9.324666667,71.012,6.1354368,NaN,0.141186607,0,10.54616667
21/09/202010:00,4.3125,-0.330666667,2.055666667,71.888,982.4023333,9.7465,83.2315,7.1912016,NaN,0.141186607,0,9.402666667
21/09/202011:00,4.5,-0.2685,2.145166667,71.18483333,981.88,9.218833333,75.32833333,6.508368,NaN,0.141186607,0,8.212
21/09/202012:00,4.668166667,0.0375,2.237166667,71.92666667,981.2961667,8.495333333,99.8285,8.6251824,NaN,0.141186607,0,15.164
21/09/202013:00,4.864166667,-0.056,2.338666667,70.529,980.8278333,9.044333333,124.4635,10.7536464,NaN,0.141186607,0,7.121833333
21/09/202014:00,5.0935,-0.145666667,2.465,68.925,980.3781667,8.569,106.0515,9.1628496,0.5,0.141186607,0,10.57283333
21/09/202015:00,5.164,0.086833333,2.588333333,69.72466667,979.7661667,8.049333333,30.90716667,2.6703792,NaN,0.141186607,0,8.396666667
21/09/202016:00,5.2455,0.509833333,2.6465,71.50466667,979.3933333,8.3665,11.48716667,0.9924912,NaN,0.141186607,0,6.7175
21/09/202017:00,4.981,0.404833333,2.660666667,72.2875,979.42,7.8295,2.645333333,0.2285568,NaN,0.141186607,0,7.726166667
21/09/202018:00,4.8805,0.748166667,2.647833333,74.6185,979.4385,7.6825,-0.398,-0.0343872,NaN,0.141186607,0,7.170666667
21/09/202019:00,4.548333333,1.389,2.619666667,79.98616667,979.9698333,7.645333333,-0.784833333,-0.0678096,NaN,0.141186607,0.866666667,11.34816667
21/09/202020:00,4.158333333,1.981666667,2.586333333,85.81716667,980.3998333,7.606833333,-0.2925,-0.025272,NaN,0.141186607,0.866666667,10.83783333
21/09/202021:00,4.607833333,1.7085,2.556666667,81.494,980.6243333,8.8215,0.148666667,0.0128448,NaN,0.141186607,0.866666667,10.6005
21/09/202022:00,3.850833333,1.546,2.5325,84.96166667,981.5478333,6.789666667,-0.174166667,-0.015048,NaN,0.141186607,0.866666667,20.21666667
21/09/202023:00,3.957,1.585666667,2.503666667,84.56516667,982.2853333,4.6515,-0.3565,-0.0308016,NaN,0.141186607,0.866666667,12.3985
22/09/202000:00,4.591166667,1.571,2.477833333,80.81033333,982.736,4.753833333,-0.184166667,-0.015912,NaN,0.094477168,0.866666667,12.58616667
22/09/202001:00,4.753,1.186333333,2.463833333,77.72766667,983.0251667,7.705,0.0385,0.0033264,NaN,0.094477168,0.05,11.3875
22/09/202002:00,4.702666667,0.741166667,2.451833333,75.51233333,983.4493333,9.165666667,-0.332333333,-0.0287136,NaN,0.094477168,0.05,10.82166667
22/09/202003:00,4.328166667,0.9595,2.4265,78.75483333,984.2415,7.437833333,-0.8335,-0.0720144,NaN,0.094477168,0.05,9.849333333
22/09/202004:00,4.164833333,0.758166667,2.391333333,78.51383333,985.0341667,8.193333333,-0.060166667,-0.0051984,NaN,0.094477168,0.05,11.036
22/09/202005:00,4.1395,0.519,2.365,77.33616667,985.705,8.622666667,9.488333333,0.819792,NaN,0.094477168,0.05,7.878333333
22/09/202006:00,4.139333333,0.1955,2.348,75.54983333,986.6378333,8.173333333,21.97833333,1.898928,NaN,0.094477168,0.05,11.73783333
22/09/202007:00,4.212166667,-0.288333333,2.341833333,72.55583333,987.6011667,7.328333333,27.0315,2.3355216,NaN,0.094477168,0,8.761
22/09/202008:00,4.091833333,-0.4425,2.346166667,72.376,988.485,7.645833333,41.87516667,3.6180144,NaN,0.094477168,0,8.610166667
